id,join_key,value,category
1362,A,668,cat2
1363,B,815,cat1
1364,F,326,cat3
1365,A,805,cat1
1366,B,33,cat3
1367,C,873,cat3
1368,C,651,cat1
1369,B,710,cat2
1370,A,812,cat2
1371,A,516,cat2
1372,E,638,cat1
1373,A,668,cat3
1374,B,670,cat3
1375,F,183,cat3
1376,A,896,cat2
1377,A,862,cat1
1378,A,662,cat2
1379,A,924,cat2
1380,B,660,cat1
1381,A,656,cat2
1382,A,235,cat1
1383,A,212,cat1
1384,A,779,cat1
1385,A,832,cat2
1386,A,691,cat1
1387,A,869,cat2
1388,B,203,cat3
1389,A,347,cat3
1390,A,903,cat1
1391,A,537,cat1
1392,D,243,cat2
1393,A,339,cat3
1394,A,666,cat1
1395,A,8,cat1
1396,A,432,cat2
1397,A,956,cat3
1398,B,313,cat1
1399,A,524,cat2
1400,C,189,cat2
1401,A,134,cat2
1402,B,829,cat1
1403,B,976,cat3
1404,A,656,cat3
1405,A,442,cat1
1406,A,11,cat2
1407,B,546,cat1
1408,A,925,cat3
1409,A,222,cat1
1410,A,3,cat3
1411,A,255,cat2
1412,A,152,cat3
1413,A,344,cat3
1414,A,467,cat3
1415,A,924,cat3
1416,A,678,cat2
1417,A,294,cat2
1418,A,763,cat1
1419,B,477,cat2
1420,A,834,cat2
1421,A,768,cat3
1422,B,545,cat3
1423,A,555,cat3
1424,A,14,cat3
1425,B,423,cat3
1426,B,180,cat1
1427,A,25,cat1
1428,A,890,cat2
1429,A,48,cat3
1430,C,987,cat3
1431,E,903,cat3
1432,B,857,cat1
1433,A,701,cat2
1434,A,968,cat2
1435,A,365,cat1
1436,A,486,cat2
1437,A,989,cat2
1438,A,441,cat2
1439,A,252,cat1
1440,A,328,cat1
1441,A,961,cat3
1442,E,875,cat1
1443,D,942,cat2
1444,A,906,cat2
1445,F,788,cat3
1446,A,858,cat2
1447,A,575,cat3
1448,C,495,cat2
1449,A,205,cat1
1450,G,409,cat3
1451,A,959,cat2
1452,A,646,cat3
1453,B,166,cat1
1454,A,34,cat3
1455,C,326,cat3
1456,A,493,cat3
1457,A,778,cat3
1458,A,642,cat3
1459,B,932,cat1
1460,H,62,cat2
1461,B,737,cat3
1462,B,432,cat1
1463,A,137,cat2
1464,A,353,cat3
1465,A,502,cat3
1466,A,835,cat2
1467,A,229,cat2
1468,F,269,cat3
1469,C,351,cat1
1470,A,186,cat2
1471,A,757,cat3
1472,E,558,cat3
1473,C,61,cat1
1474,C,969,cat3
1475,A,915,cat2
1476,B,81,cat3
1477,A,589,cat2
1478,F,948,cat1
1479,B,829,cat2
1480,A,90,cat2
1481,A,676,cat2
1482,A,408,cat1
1483,A,70,cat2
1484,A,355,cat1
1485,C,494,cat1
1486,A,775,cat2
1487,A,9,cat2
1488,A,796,cat1
1489,G,776,cat2
1490,B,145,cat2
1491,A,707,cat3
1492,A,29,cat3
1493,B,16,cat2
1494,A,618,cat2
1495,C,431,cat2
1496,A,642,cat2
1497,B,214,cat1
1498,A,491,cat2
1499,A,350,cat1
1500,A,572,cat3
1501,C,189,cat1
1502,A,493,cat1
1503,A,26,cat3
1504,A,287,cat3
1505,A,400,cat1
1506,A,526,cat2
1507,G,304,cat2
1508,A,372,cat3
1509,A,107,cat3
1510,C,338,cat1
1511,A,163,cat2
1512,F,300,cat3
1513,A,838,cat1
1514,B,874,cat3
1515,B,740,cat1
1516,A,165,cat2
1517,F,440,cat3
1518,A,797,cat2
1519,A,592,cat3
1520,A,696,cat3
1521,A,579,cat1
1522,A,208,cat1
1523,A,165,cat2
1524,A,889,cat3
1525,A,551,cat1
1526,A,975,cat1
1527,A,508,cat2
1528,B,222,cat1
1529,A,715,cat1
1530,C,794,cat1
1531,A,752,cat2
1532,A,774,cat1
1533,A,596,cat1
1534,A,556,cat2
1535,A,716,cat1
1536,B,394,cat1
1537,B,493,cat3
1538,C,664,cat1
1539,A,496,cat3
1540,G,361,cat2
1541,A,756,cat3
1542,A,733,cat3
1543,A,370,cat2
1544,F,889,cat3
1545,A,161,cat1
1546,F,545,cat2
1547,B,484,cat3
1548,A,815,cat1
1549,B,697,cat1
1550,A,773,cat2
1551,A,784,cat3
1552,A,983,cat3
1553,A,893,cat3
1554,B,109,cat3
1555,B,919,cat2
1556,D,849,cat2
1557,A,244,cat2
1558,A,643,cat1
1559,A,135,cat1
1560,A,858,cat2
1561,B,838,cat1
1562,F,132,cat2
1563,B,939,cat1
1564,C,688,cat2
1565,A,262,cat3
1566,C,907,cat1
1567,E,908,cat3
1568,A,132,cat1
1569,B,27,cat1
1570,A,616,cat2
1571,A,587,cat1
1572,B,345,cat2
1573,H,956,cat3
1574,F,193,cat1
1575,B,940,cat1
1576,C,132,cat1
1577,B,728,cat3
1578,A,985,cat2
1579,A,436,cat1
1580,A,248,cat3
1581,B,920,cat1
1582,A,10,cat1
1583,A,794,cat3
1584,A,97,cat1
1585,B,808,cat2
1586,A,395,cat2
1587,B,141,cat3
1588,B,31,cat1
1589,A,622,cat3
1590,B,295,cat1
1591,A,806,cat1
1592,A,570,cat2
1593,B,128,cat2
1594,C,612,cat3
1595,A,408,cat3
1596,B,749,cat3
1597,A,144,cat1
1598,A,993,cat2
1599,B,993,cat1
1600,A,942,cat2
1601,A,731,cat3
1602,C,417,cat3
1603,G,372,cat3
1604,A,334,cat1
1605,B,861,cat2
1606,B,427,cat3
1607,A,321,cat2
1608,B,193,cat3
1609,A,108,cat3
1610,E,195,cat2
1611,H,812,cat3
1612,A,282,cat1
1613,A,481,cat3
1614,H,474,cat2
1615,A,981,cat3
1616,B,873,cat2
1617,B,148,cat3
1618,B,944,cat1
1619,H,907,cat2
1620,A,879,cat2
1621,A,752,cat1
1622,A,284,cat2
1623,A,737,cat1
1624,A,198,cat3
1625,A,778,cat3
1626,B,952,cat3
1627,A,865,cat1
1628,A,941,cat2
1629,A,230,cat2
1630,A,354,cat3
1631,A,348,cat2
1632,A,260,cat2
1633,A,396,cat3
1634,A,127,cat3
1635,B,367,cat2
1636,A,916,cat2
1637,A,87,cat1
1638,C,667,cat2
1639,A,798,cat2
1640,A,563,cat1
1641,G,276,cat2
1642,A,265,cat3
1643,B,720,cat1
1644,H,159,cat1
1645,C,477,cat3
1646,A,440,cat3
1647,E,30,cat2
1648,A,802,cat3
1649,A,883,cat2
1650,B,324,cat1
1651,A,3,cat1
1652,A,807,cat3
1653,B,747,cat1
1654,B,900,cat1
1655,A,573,cat3
1656,E,906,cat2
1657,B,111,cat1
1658,B,377,cat2
1659,A,159,cat3
1660,C,133,cat3
1661,A,413,cat2
1662,A,571,cat2
1663,H,881,cat1
1664,B,652,cat3
1665,B,682,cat2
1666,B,591,cat3
1667,A,522,cat1
1668,A,792,cat1
1669,D,31,cat3
1670,A,549,cat2
1671,A,976,cat1
1672,A,647,cat1
1673,B,372,cat3
1674,C,668,cat1
1675,B,966,cat1
1676,C,836,cat2
1677,A,778,cat2
1678,F,519,cat2
1679,A,235,cat2
1680,B,441,cat3
1681,A,331,cat2
1682,A,767,cat3
1683,A,289,cat1
1684,A,246,cat3
1685,A,755,cat1
1686,F,807,cat3
1687,A,712,cat3
1688,E,147,cat1
1689,H,484,cat2
1690,H,126,cat2
1691,B,332,cat1
1692,A,383,cat2
1693,B,773,cat2
1694,B,207,cat2
1695,A,886,cat1
1696,A,442,cat1
1697,B,677,cat2
1698,C,152,cat3
1699,A,157,cat2
1700,A,119,cat1
1701,A,175,cat1
1702,A,517,cat1
1703,D,889,cat3
1704,A,631,cat1
1705,A,332,cat1
1706,A,436,cat1
1707,A,323,cat2
1708,A,103,cat3
1709,B,632,cat1
1710,A,176,cat3
1711,D,788,cat3
1712,A,809,cat3
1713,A,709,cat2
1714,B,837,cat3
1715,H,859,cat1
1716,B,313,cat2
1717,A,63,cat3
1718,A,998,cat3
1719,A,469,cat2
1720,A,474,cat3
1721,B,406,cat3
1722,C,856,cat3
1723,A,678,cat3
1724,A,790,cat3
1725,B,425,cat3
1726,A,792,cat1
1727,A,585,cat3
1728,A,23,cat3
1729,A,798,cat1
1730,A,976,cat2
1731,A,657,cat1
1732,A,841,cat3
1733,A,294,cat3
1734,B,832,cat1
1735,A,184,cat1
1736,A,535,cat1
1737,A,859,cat3
1738,B,998,cat2
1739,A,402,cat3
1740,B,760,cat3
1741,B,213,cat1
1742,A,713,cat1
1743,A,24,cat1
1744,C,936,cat2
1745,A,684,cat3
1746,H,920,cat3
1747,A,891,cat2
1748,B,477,cat1
1749,A,718,cat3
1750,H,119,cat1
1751,A,238,cat3
1752,A,538,cat2
1753,A,226,cat2
1754,G,897,cat1
1755,A,963,cat3
1756,A,959,cat1
1757,A,709,cat3
1758,C,385,cat1
1759,B,382,cat3
1760,A,543,cat1
1761,A,590,cat1
1762,A,847,cat1
1763,B,88,cat3
1764,A,136,cat1
1765,A,536,cat1
1766,A,222,cat2
1767,A,171,cat3
1768,A,822,cat1
1769,A,458,cat3
1770,E,792,cat2
1771,A,171,cat2
1772,A,668,cat3
1773,A,996,cat2
1774,A,257,cat2
1775,A,764,cat2
1776,A,56,cat2
1777,E,397,cat3
1778,A,990,cat3
1779,B,461,cat1
1780,A,591,cat3
1781,F,803,cat3
1782,A,11,cat1
1783,B,271,cat1
1784,A,265,cat2
1785,A,278,cat1
1786,B,235,cat1
1787,A,201,cat3
1788,C,786,cat1
1789,A,77,cat1
1790,A,415,cat1
1791,C,548,cat3
1792,F,544,cat3
1793,A,630,cat2
1794,A,826,cat2
1795,A,27,cat3
1796,A,955,cat3
1797,B,527,cat2
1798,A,100,cat1
1799,B,34,cat3
1800,A,545,cat3
1801,B,292,cat3
1802,A,733,cat2
1803,A,137,cat2
1804,A,765,cat3
1805,B,667,cat2
1806,A,536,cat2
1807,A,88,cat2
1808,C,499,cat3
1809,A,187,cat3
1810,C,126,cat1
1811,B,804,cat1
1812,A,565,cat1
1813,A,125,cat3
1814,E,688,cat1
1815,A,827,cat1
1816,A,125,cat2
1817,G,128,cat1
1818,C,980,cat3
1819,B,470,cat1
1820,A,774,cat1
1821,B,193,cat1
1822,A,263,cat2
1823,C,369,cat2
1824,A,468,cat1
1825,A,51,cat3
1826,H,864,cat2
1827,B,586,cat2
1828,A,416,cat3
1829,C,226,cat2
1830,A,589,cat1
1831,A,867,cat1
1832,B,894,cat3
1833,C,243,cat2
1834,B,259,cat2
1835,B,545,cat3
1836,B,576,cat3
1837,F,555,cat2
1838,C,576,cat2
1839,A,39,cat3
1840,A,376,cat3
1841,A,748,cat2
1842,A,556,cat1
1843,A,942,cat3
1844,A,269,cat1
1845,B,282,cat3
1846,B,851,cat2
1847,A,409,cat3
1848,A,667,cat1
1849,B,649,cat2
1850,A,256,cat2
1851,B,196,cat1
1852,A,430,cat2
1853,A,546,cat2
1854,C,103,cat1
1855,A,233,cat2
1856,A,393,cat1
1857,A,341,cat2
1858,A,724,cat3
1859,A,622,cat3
1860,B,97,cat1
1861,A,219,cat3
1862,A,104,cat1
1863,A,750,cat1
1864,B,147,cat1
1865,B,220,cat2
1866,A,992,cat2
1867,C,466,cat3
1868,B,430,cat3
1869,A,112,cat1
1870,A,943,cat3
1871,A,595,cat1
1872,A,215,cat2
1873,A,936,cat3
1874,A,417,cat1
1875,A,17,cat2
1876,C,824,cat1
1877,A,93,cat1
1878,A,568,cat1
1879,B,680,cat2
1880,A,651,cat3
1881,F,817,cat3
1882,B,820,cat1
1883,A,106,cat1
1884,A,507,cat1
1885,A,813,cat1
1886,C,597,cat2
1887,A,103,cat3
1888,C,868,cat2
1889,A,212,cat2
1890,A,918,cat3
1891,B,364,cat2
1892,B,902,cat3
1893,A,977,cat2
1894,A,571,cat2
1895,A,310,cat3
1896,A,976,cat1
1897,A,64,cat2
1898,A,106,cat1
1899,B,331,cat2
1900,A,757,cat1
1901,C,485,cat3
1902,B,93,cat2
1903,B,718,cat1
1904,A,151,cat3
1905,A,574,cat2
1906,A,139,cat3
1907,A,665,cat2
1908,B,235,cat3
1909,B,504,cat3
1910,H,88,cat1
1911,B,760,cat1
1912,B,908,cat2
1913,A,61,cat1
1914,A,616,cat3
1915,A,567,cat1
1916,A,322,cat1
1917,A,274,cat2
1918,B,517,cat2
1919,A,925,cat1
1920,A,105,cat1
1921,A,201,cat3
1922,B,265,cat1
1923,A,540,cat2
1924,A,849,cat2
1925,A,858,cat2
1926,B,664,cat2
1927,A,464,cat3
1928,C,258,cat2
1929,A,427,cat3
1930,A,528,cat3
1931,A,546,cat3
1932,A,34,cat1
1933,B,968,cat1
1934,B,765,cat1
1935,A,298,cat3
1936,B,156,cat1
1937,A,445,cat2
1938,H,181,cat1
1939,B,294,cat2
1940,E,661,cat3
1941,A,970,cat2
1942,C,724,cat3
1943,A,47,cat3
1944,A,418,cat3
1945,A,607,cat1
1946,B,278,cat2
1947,B,752,cat2
1948,A,890,cat2
1949,H,377,cat2
1950,B,817,cat2
1951,B,452,cat3
1952,A,192,cat2
1953,A,569,cat1
1954,B,485,cat3
1955,C,839,cat1
1956,A,8,cat3
1957,B,282,cat3
1958,E,969,cat2
1959,A,512,cat2
1960,C,687,cat3
1961,C,683,cat2
1962,A,805,cat3
1963,A,769,cat1
1964,A,549,cat1
1965,C,639,cat2
1966,C,550,cat1
1967,A,836,cat1
1968,E,591,cat3
1969,A,712,cat3
1970,A,2,cat1
1971,B,923,cat1
1972,A,954,cat3
1973,B,910,cat1
1974,A,424,cat1
1975,B,34,cat3
1976,A,236,cat1
1977,A,13,cat2
1978,E,611,cat1
1979,A,525,cat3
1980,G,979,cat3
1981,A,57,cat1
1982,E,997,cat2
1983,A,824,cat2
1984,E,241,cat2
1985,A,991,cat3
1986,A,876,cat1
1987,A,231,cat3
1988,B,440,cat1
1989,A,946,cat1
1990,A,100,cat2
1991,A,577,cat3
1992,A,583,cat3
1993,A,145,cat3
1994,A,72,cat3
1995,A,971,cat2
1996,A,683,cat1
1997,C,716,cat3
1998,C,686,cat2
1999,B,151,cat1
2000,A,100,cat1
2001,A,62,cat3
2002,B,869,cat1
2003,A,509,cat3
2004,A,672,cat1
2005,A,226,cat1
2006,A,171,cat1
2007,A,88,cat3
2008,B,260,cat3
2009,A,74,cat1
2010,A,202,cat2
2011,A,774,cat3
2012,A,963,cat1
2013,A,637,cat3
2014,A,332,cat1
2015,A,910,cat3
2016,B,860,cat2
2017,A,207,cat1
2018,B,152,cat3
2019,E,230,cat3
2020,A,144,cat2
2021,B,672,cat2
2022,B,860,cat1
2023,A,73,cat2
2024,B,607,cat2
2025,A,87,cat1
2026,A,947,cat3
2027,B,594,cat2
2028,A,362,cat1
2029,A,527,cat2
2030,A,844,cat3
2031,A,35,cat2
2032,A,558,cat2
2033,A,158,cat2
2034,B,583,cat2
2035,B,997,cat3
2036,A,459,cat1
2037,B,680,cat2
2038,A,701,cat3
2039,B,604,cat3
2040,G,13,cat2
2041,A,514,cat3
2042,A,41,cat2
2043,A,269,cat1
2044,A,318,cat3
2045,B,425,cat3
2046,A,640,cat2
2047,A,325,cat3
2048,A,330,cat3
2049,B,611,cat1
2050,A,841,cat3
2051,B,84,cat2
2052,B,239,cat3
2053,A,619,cat1
2054,A,554,cat1
2055,A,842,cat1
2056,C,994,cat2
2057,C,758,cat2
2058,A,581,cat3
2059,A,164,cat3
2060,C,876,cat2
2061,A,271,cat1
2062,A,783,cat3
2063,A,47,cat3
2064,A,405,cat2
2065,A,438,cat2
2066,A,784,cat3
2067,A,94,cat2
2068,A,94,cat2
2069,A,615,cat2
2070,E,159,cat3
2071,A,382,cat2
2072,A,568,cat2
2073,A,955,cat1
2074,A,762,cat3
2075,A,55,cat3
2076,B,121,cat1
2077,A,915,cat3
2078,A,402,cat2
2079,A,150,cat1
2080,A,547,cat2
2081,A,323,cat3
2082,A,218,cat3
2083,A,441,cat1
2084,B,548,cat2
2085,A,626,cat1
2086,C,933,cat2
2087,B,832,cat3
2088,A,173,cat2
2089,A,976,cat3
2090,A,659,cat3
2091,A,732,cat2
2092,F,439,cat2
2093,C,925,cat1
2094,A,173,cat1
2095,B,132,cat3
2096,C,719,cat2
2097,A,38,cat3
2098,A,761,cat2
2099,A,341,cat1
2100,B,278,cat1
2101,A,637,cat2
2102,A,691,cat1
2103,B,135,cat1
2104,A,348,cat3
2105,A,991,cat2
2106,F,538,cat1
2107,B,333,cat2
2108,A,679,cat2
2109,C,810,cat3
2110,A,857,cat1
2111,G,559,cat1
2112,B,593,cat1
2113,B,815,cat1
2114,A,468,cat3
2115,A,393,cat3
2116,F,920,cat2
2117,A,858,cat1
2118,A,876,cat3
2119,A,219,cat1
2120,A,251,cat1
2121,A,231,cat1
2122,C,857,cat3
2123,A,940,cat1
2124,A,766,cat3
2125,A,990,cat3
2126,A,158,cat2
2127,A,214,cat3
2128,A,223,cat2
2129,A,689,cat1
2130,F,130,cat1
2131,B,603,cat1
2132,A,5,cat3
2133,A,924,cat3
2134,C,458,cat3
2135,C,968,cat2
2136,B,826,cat2
2137,B,68,cat3
2138,A,729,cat3
2139,D,422,cat2
2140,A,566,cat1
2141,D,915,cat2
2142,A,920,cat2
2143,A,361,cat3
2144,C,584,cat1
2145,C,840,cat2
2146,G,796,cat3
2147,B,644,cat2
2148,A,252,cat2
2149,A,561,cat3
2150,A,327,cat3
2151,B,452,cat2
2152,A,880,cat3
2153,B,555,cat3
2154,A,340,cat2
2155,A,991,cat3
2156,B,590,cat1
2157,A,387,cat1
2158,A,751,cat3
2159,B,190,cat1
2160,B,852,cat2
2161,C,189,cat2
2162,C,485,cat1
2163,B,221,cat3
2164,B,331,cat2
2165,A,243,cat3
2166,A,907,cat2
2167,C,215,cat3
2168,A,789,cat2
2169,B,776,cat2
2170,A,419,cat1
2171,A,184,cat2
2172,E,174,cat2
2173,A,262,cat1
2174,F,308,cat2
2175,B,445,cat3
2176,A,382,cat2
2177,A,796,cat2
2178,A,704,cat3
2179,C,524,cat3
2180,A,355,cat2
2181,D,963,cat3
2182,A,948,cat3
2183,D,238,cat3
2184,A,197,cat2
2185,B,12,cat1
2186,A,101,cat3
2187,A,756,cat2
2188,A,341,cat2
2189,A,588,cat3
2190,B,227,cat2
2191,H,789,cat3
2192,A,617,cat2
2193,C,101,cat3
2194,A,102,cat1
2195,A,846,cat3
2196,F,243,cat1
2197,B,56,cat3
2198,C,152,cat2
2199,A,453,cat2
2200,A,145,cat3
2201,A,639,cat2
2202,A,764,cat1
2203,D,781,cat1
2204,A,38,cat1
2205,B,9,cat2
2206,A,872,cat2
2207,A,558,cat2
2208,A,704,cat3
2209,A,718,cat3
2210,A,727,cat3
2211,A,276,cat3
2212,B,42,cat3
2213,A,744,cat3
2214,D,440,cat2
2215,A,304,cat2
2216,A,828,cat1
2217,B,418,cat2
2218,F,399,cat2
2219,A,316,cat2
2220,A,723,cat3
2221,A,10,cat3
2222,A,793,cat2
2223,B,766,cat1
2224,A,256,cat3
2225,B,766,cat3
2226,A,372,cat2
2227,A,337,cat1
2228,A,146,cat1
2229,A,489,cat1
2230,A,190,cat2
2231,A,754,cat2
2232,A,605,cat3
2233,A,437,cat2
2234,C,824,cat2
2235,A,165,cat3
2236,B,386,cat3
2237,A,111,cat2
2238,B,823,cat3
2239,B,737,cat2
2240,B,801,cat3
2241,A,378,cat1
2242,B,243,cat1
2243,A,408,cat2
2244,F,143,cat3
2245,A,404,cat3
2246,A,50,cat2
2247,B,49,cat3
2248,E,786,cat1
2249,A,587,cat1
2250,B,675,cat2
2251,A,727,cat2
2252,B,686,cat3
2253,A,21,cat1
2254,A,767,cat3
2255,C,463,cat2
2256,B,588,cat2
2257,A,628,cat2
2258,A,167,cat1
2259,B,836,cat2
2260,B,208,cat2
2261,B,940,cat3
2262,C,19,cat3
2263,C,49,cat2
2264,A,153,cat1
2265,G,396,cat1
2266,A,524,cat3
2267,D,304,cat2
2268,A,442,cat1
2269,A,225,cat1
2270,A,122,cat2
2271,B,841,cat2
2272,C,156,cat1
2273,B,667,cat1
2274,A,716,cat3
2275,A,452,cat1
2276,C,867,cat1
2277,A,85,cat3
2278,B,40,cat3
2279,B,638,cat3
2280,A,283,cat2
2281,B,981,cat2
2282,E,935,cat3
2283,A,10,cat1
2284,A,152,cat1
2285,A,763,cat3
2286,A,1,cat3
2287,A,398,cat1
2288,A,955,cat1
2289,A,546,cat3
2290,C,818,cat1
2291,A,134,cat1
2292,A,915,cat2
2293,B,27,cat1
2294,A,502,cat1
2295,A,471,cat1
2296,E,957,cat3
2297,A,245,cat2
2298,B,804,cat3
2299,A,133,cat1
2300,A,428,cat2
2301,C,120,cat1
2302,A,10,cat2
2303,A,572,cat1
2304,B,204,cat2
2305,C,61,cat3
2306,A,119,cat3
2307,A,575,cat1
2308,A,16,cat3
2309,A,743,cat1
2310,A,621,cat1
2311,A,905,cat2
2312,C,8,cat1
2313,B,215,cat3
2314,A,328,cat3
2315,B,168,cat3
2316,A,430,cat2
2317,B,986,cat1
2318,A,313,cat2
2319,A,309,cat3
2320,A,45,cat1
2321,A,210,cat1
2322,B,999,cat3
2323,B,531,cat3
2324,B,518,cat3
2325,E,541,cat1
2326,A,803,cat3
2327,A,160,cat1
2328,B,134,cat2
2329,B,88,cat1
2330,C,548,cat2
2331,A,779,cat2
2332,A,457,cat3
2333,A,662,cat2
2334,C,640,cat3
2335,A,674,cat1
2336,A,450,cat1
2337,A,110,cat1
2338,C,818,cat3
2339,C,38,cat3
2340,A,532,cat3
2341,A,119,cat2
2342,A,457,cat1
2343,A,803,cat1
2344,A,856,cat3
2345,B,645,cat1
2346,A,189,cat3
2347,B,929,cat2
2348,A,639,cat2
2349,A,787,cat3
2350,A,300,cat2
2351,A,216,cat2
2352,H,113,cat2
2353,A,592,cat2
2354,A,884,cat2
2355,E,281,cat3
2356,B,508,cat3
2357,G,420,cat2
2358,B,818,cat1
2359,A,41,cat1
2360,A,305,cat2
2361,A,145,cat1
2362,A,405,cat3
2363,B,466,cat3
2364,C,399,cat2
2365,B,978,cat2
2366,D,507,cat1
2367,A,990,cat3
2368,A,315,cat3
2369,C,926,cat3
2370,C,998,cat1
2371,E,63,cat2
2372,A,623,cat2
2373,B,912,cat1
2374,A,149,cat2
2375,C,407,cat3
2376,G,138,cat1
2377,A,228,cat2
2378,A,697,cat2
2379,A,91,cat1
2380,B,789,cat2
2381,A,393,cat1
2382,H,177,cat1
2383,A,936,cat3
2384,A,792,cat3
2385,A,700,cat3
2386,A,811,cat3
2387,A,257,cat3
2388,A,881,cat2
2389,A,173,cat2
2390,A,850,cat1
2391,A,468,cat3
2392,A,173,cat1
2393,B,584,cat1
2394,A,802,cat3
2395,A,693,cat1
2396,A,407,cat3
2397,C,518,cat3
2398,A,192,cat2
2399,C,697,cat3
2400,F,206,cat3
2401,A,420,cat3
2402,A,601,cat1
2403,F,968,cat1
2404,A,632,cat3
2405,C,238,cat3
2406,B,128,cat2
2407,A,460,cat1
2408,B,726,cat2
2409,B,385,cat1
2410,A,603,cat3
2411,B,43,cat2
2412,C,179,cat2
2413,A,116,cat2
2414,A,8,cat2
2415,A,789,cat2
2416,A,507,cat3
2417,A,907,cat2
2418,B,175,cat3
2419,D,457,cat2
2420,A,172,cat1
2421,D,88,cat1
2422,A,802,cat2
2423,A,656,cat2
2424,A,965,cat1
2425,A,382,cat1
2426,A,698,cat2
2427,B,361,cat3
2428,A,571,cat2
2429,A,773,cat3
2430,C,707,cat3
2431,A,162,cat1
2432,A,46,cat1
2433,A,826,cat2
2434,B,389,cat2
2435,A,979,cat1
2436,B,796,cat2
2437,A,41,cat1
2438,A,834,cat2
2439,C,577,cat1
2440,A,993,cat2
2441,A,581,cat3
2442,C,870,cat2
2443,A,416,cat2
2444,A,752,cat1
2445,A,534,cat2
2446,A,796,cat3
2447,A,470,cat1
2448,A,992,cat3
2449,A,174,cat1
2450,A,581,cat2
2451,A,70,cat2
2452,A,985,cat2
2453,C,48,cat1
2454,B,213,cat3
2455,A,7,cat1
2456,A,48,cat1
2457,A,141,cat2
2458,A,473,cat1
2459,C,594,cat2
2460,D,738,cat3
2461,A,310,cat3
2462,A,314,cat1
2463,A,183,cat3
2464,B,35,cat1
2465,A,153,cat1
2466,A,321,cat2
2467,A,773,cat2
2468,A,907,cat3
2469,G,503,cat2
2470,B,977,cat1
2471,C,539,cat2
2472,A,87,cat3
2473,A,210,cat2
2474,A,121,cat3
2475,A,354,cat3
2476,B,397,cat1
2477,A,428,cat3
2478,C,445,cat2
2479,A,957,cat1
2480,A,908,cat2
2481,A,270,cat3
2482,E,774,cat2
2483,A,11,cat3
2484,A,744,cat3
2485,B,796,cat1
2486,A,115,cat2
2487,G,646,cat1
2488,G,583,cat3
2489,A,561,cat2
2490,C,925,cat1
2491,A,25,cat1
2492,B,573,cat2
2493,G,950,cat3
2494,A,834,cat1
2495,A,663,cat1
2496,A,515,cat1
2497,A,720,cat1
2498,G,663,cat2
2499,A,878,cat3
2500,A,673,cat2
2501,B,977,cat3
2502,A,347,cat1
2503,A,93,cat3
2504,C,136,cat2
2505,A,487,cat3
2506,B,536,cat3
2507,A,681,cat1
2508,A,210,cat1
2509,D,948,cat1
2510,A,134,cat3
2511,B,341,cat1
2512,C,177,cat1
2513,A,659,cat3
2514,A,419,cat2
2515,A,763,cat3
2516,C,680,cat3
2517,A,297,cat3
2518,A,507,cat1
2519,E,649,cat3
2520,C,303,cat3
2521,B,853,cat2
2522,A,224,cat2
2523,A,146,cat3
2524,A,321,cat2
2525,A,888,cat1
2526,A,718,cat3
2527,G,952,cat3
2528,A,542,cat2
2529,A,776,cat1
2530,A,527,cat1
2531,B,219,cat1
2532,A,296,cat3
2533,B,143,cat1
2534,B,952,cat2
2535,A,28,cat3
2536,B,393,cat1
2537,C,901,cat1
2538,C,212,cat2
2539,A,593,cat3
2540,B,729,cat1
2541,A,558,cat1
2542,A,588,cat3
2543,A,875,cat3
2544,A,618,cat3
2545,A,557,cat1
2546,C,806,cat1
2547,A,760,cat2
2548,C,893,cat1
2549,G,188,cat3
2550,B,232,cat2
2551,B,769,cat2
2552,C,930,cat2
2553,A,319,cat3
2554,D,770,cat3
2555,H,933,cat1
2556,A,623,cat2
2557,C,560,cat2
2558,A,621,cat1
2559,A,26,cat2
2560,B,647,cat1
2561,A,990,cat3
2562,A,539,cat2
2563,C,310,cat2
2564,A,122,cat3
2565,A,84,cat2
2566,E,571,cat2
2567,A,446,cat2
2568,A,303,cat2
2569,B,40,cat3
2570,A,760,cat2
2571,A,927,cat1
2572,B,828,cat1
2573,C,98,cat1
2574,A,559,cat2
2575,A,878,cat3
2576,A,127,cat3
2577,A,996,cat2
2578,A,563,cat2
2579,B,682,cat2
2580,A,437,cat2
2581,A,282,cat2
2582,A,283,cat2
2583,A,825,cat3
2584,A,977,cat2
2585,A,917,cat2
2586,F,869,cat3
2587,A,161,cat1
2588,A,259,cat1
2589,A,582,cat3
2590,B,232,cat3
2591,B,205,cat1
2592,C,433,cat1
2593,A,618,cat2
2594,A,781,cat3
2595,B,243,cat1
2596,A,332,cat3
2597,A,905,cat3
2598,B,118,cat1
2599,A,607,cat1
2600,A,515,cat3
2601,F,962,cat3
2602,B,923,cat1
2603,A,190,cat1
2604,A,179,cat1
2605,B,485,cat1
2606,A,837,cat3
2607,B,599,cat1
2608,A,382,cat3
2609,A,631,cat1
2610,A,343,cat3
2611,B,815,cat2
2612,A,778,cat2
2613,A,546,cat3
2614,A,413,cat3
2615,A,953,cat1
2616,C,275,cat2
2617,A,936,cat3
2618,A,968,cat3
2619,G,989,cat3
2620,B,886,cat3
2621,A,184,cat2
2622,B,125,cat3
2623,A,28,cat2
2624,B,379,cat1
2625,A,475,cat2
2626,A,190,cat1
2627,A,564,cat3
2628,C,925,cat2
2629,G,650,cat3
2630,A,513,cat2
2631,A,307,cat1
2632,A,762,cat1
